,date,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
7316,2014-05-02,4,up to 2,1.0,0,without,4,very good,1450,0,1954,0,98006,47.5746,-122.135,1260,8942,435000
20586,2014-05-02,4,up to 4,2.0,0,without,3,very good,3310,0,2012,0,98065,47.515,-121.87,2380,5000,555000
1040,2014-05-02,4,up to 4,1.0,0,without,4,very good,1140,800,1976,0,98052,47.683,-122.11399999999999,2200,10500,550000
20543,2014-05-02,2,up to 4,2.0,0,without,3,very good,1280,350,2009,0,98106,47.5489,-122.363,1590,2306,295000
9587,2014-05-02,3,up to 4,1.0,0,without,4,very good,1700,900,1951,0,98117,47.6833,-122.4,2380,4750,790000
9578,2014-05-02,5,up to 4,2.0,0,without,3,very good,2820,0,1979,0,98029,47.5794,-122.025,2820,48351,675000
11879,2014-05-02,4,up to 4,2.0,0,without,3,very good,2820,0,2014,0,98155,47.7538,-122.325,1300,8408,625000
11895,2014-05-02,4,up to 4,1.5,0,without,3,very good,2300,1330,1979,0,98092,47.2617,-122.19,2830,80148,400000
4959,2014-05-02,3,up to 2,1.0,0,without,3,very good,1970,360,1980,0,98074,47.6267,-122.046,2570,14217,588500
3719,2014-05-02,3,up to 2,1.0,0,without,3,very good,1710,0,1948,0,98155,47.7512,-122.281,2260,8839,463000
3710,2014-05-02,4,up to 2,1.5,0,without,3,very good,1520,0,1945,0,98115,47.678000000000004,-122.26899999999999,1910,6200,640000
17466,2014-05-02,3,up to 2,1.0,0,without,3,very good,1800,0,1968,0,98014,47.6517,-121.906,1410,18163,284000
1391,2014-05-02,2,up to 2,1.0,0,without,3,very good,880,0,1938,1994,98115,47.6924,-122.322,1340,6380,490000
20133,2014-05-02,3,up to 4,2.0,0,without,3,very good,1040,280,2008,0,98199,47.6506,-122.383,1440,1263,385000
14075,2014-05-02,3,up to 4,1.0,0,without,4,very good,1580,0,1978,0,98024,47.5643,-121.897,1450,16215,335000
