,sqft_above,sqft_living15,bathrooms,view,sqft_basement,floors,grade,condition,yr_built,yr_renovated,floors,price
7316,1450,1260,1.0,0,0,1.0,7,4,1954,0,1.0,435000
20586,3310,2380,2.5,0,0,2.0,8,3,2012,0,2.0,555000
1040,1140,2200,2.5,0,800,1.0,7,4,1976,0,1.0,550000
20543,1280,1590,2.5,0,350,2.0,7,3,2009,0,2.0,295000
9587,1700,2380,2.5,0,900,1.0,9,4,1951,0,1.0,790000
9578,2820,2820,2.5,0,0,2.0,8,3,1979,0,2.0,675000
11879,2820,1300,2.5,0,0,2.0,9,3,2014,0,2.0,625000
11895,2300,2830,2.5,0,1330,1.5,9,3,1979,0,1.5,400000
4959,1970,2570,1.75,0,360,1.0,8,3,1980,0,1.0,588500
3719,1710,2260,1.75,0,0,1.0,7,3,1948,0,1.0,463000
3710,1520,1910,2.0,0,0,1.5,7,3,1945,0,1.5,640000
17466,1800,1410,1.75,0,0,1.0,7,3,1968,0,1.0,284000
1391,880,1340,1.0,0,0,1.0,7,3,1938,1994,1.0,490000
20133,1040,1440,3.25,0,280,2.0,8,3,2008,0,2.0,385000
14075,1580,1450,2.25,0,0,1.0,7,4,1978,0,1.0,335000
13967,1440,2010,2.5,2,950,1.0,8,4,1955,0,1.0,750000
16302,1160,1160,1.0,0,0,1.0,7,3,1968,0,1.0,315000
4997,1090,1340,1.0,0,0,1.0,7,4,1955,0,1.0,365000
3320,1570,1560,2.5,0,860,1.0,7,4,1985,0,1.0,452500
19814,1600,1680,2.5,0,170,3.0,8,3,2007,0,3.0,436110
15907,1210,1580,1.0,0,0,1.0,6,2,1949,0,1.0,235000
7727,1470,2410,2.25,0,280,2.5,9,3,2005,0,2.5,626000
12354,3240,4050,2.5,2,0,2.0,10,3,1995,0,2.0,604000
15542,1770,1770,2.5,0,0,2.0,8,3,1990,0,2.0,439950
13635,1650,1960,2.0,2,310,1.0,8,5,1957,0,1.0,403000
11565,1080,1850,2.25,0,1080,1.0,8,3,1966,0,1.0,440000
17386,2910,2590,1.75,0,0,1.5,8,3,1979,0,1.5,550000
16754,1970,2340,2.25,0,0,2.0,9,4,1977,0,2.0,437500
5608,1200,1380,1.5,0,0,1.0,7,4,1965,0,1.0,242500
15113,850,1100,1.0,0,0,1.0,7,4,1950,0,1.0,308500
312,3370,2880,2.5,4,280,2.0,10,5,1921,0,2.0,2380000
6418,1370,1400,1.75,0,0,1.0,7,3,1987,0,1.0,257950
21271,1560,2730,3.25,0,1170,1.0,9,3,2007,0,1.0,625000
16866,1930,2290,2.5,0,0,2.0,8,3,1996,0,2.0,407500
16909,1270,1320,2.5,0,0,3.0,8,3,2001,0,3.0,445700
5652,1570,1570,1.5,0,0,1.0,7,4,1956,0,1.0,419000
21145,2680,2990,2.5,0,0,2.0,8,3,2013,0,2.0,459990
17388,1880,2060,2.0,0,830,1.5,8,4,1929,0,1.5,805000
17024,3310,3350,2.5,0,0,2.0,9,3,2001,0,2.0,838000
17041,2710,2390,2.75,0,0,2.0,9,3,2000,0,2.0,630000
10235,1560,2080,1.75,0,0,1.0,7,4,1967,0,1.0,382500
6655,1180,1680,1.5,0,0,1.0,6,3,1983,0,1.0,275000
6305,3110,2820,3.0,0,0,2.0,8,3,1997,0,2.0,367500
6705,1550,1570,1.75,0,690,2.0,8,5,1923,0,2.0,750000
172,1340,1480,1.5,0,0,1.5,7,3,1955,0,1.5,313000
14803,1480,2130,2.0,0,0,1.0,7,4,1974,0,1.0,260000
4331,1910,2470,2.5,0,1010,1.5,8,5,1909,0,1.5,1400000
775,1000,2070,2.25,0,1000,1.0,8,4,1963,0,1.0,420000
11491,1640,2060,2.0,1,180,1.5,7,3,1945,0,1.5,650000
502,1930,2200,2.0,0,0,1.0,8,4,1966,0,1.0,342000
19661,3660,3320,3.25,2,0,2.0,10,3,2006,0,2.0,785000
21374,2540,2280,2.5,0,0,2.0,7,3,2006,0,2.0,300000
5038,2910,2940,2.75,0,0,1.5,8,3,1939,0,1.5,1200000
8293,1360,1750,2.5,0,730,1.0,8,4,1987,0,1.0,285000
7954,1130,1090,1.75,0,470,1.0,8,3,1959,0,1.0,495000
12484,800,1150,1.0,0,0,1.0,7,4,1944,0,1.0,440000
2485,1350,1790,2.0,0,0,1.0,8,3,1976,0,1.0,335000
8883,1300,2320,2.25,0,900,1.5,7,5,1920,0,1.5,698000
7935,2730,2730,2.5,0,0,2.0,9,3,1991,0,2.0,612500
5950,2200,2310,2.5,0,0,2.0,8,3,1987,0,2.0,285000
8319,1360,1860,1.75,0,1000,1.0,8,4,1948,0,1.0,615000
2578,2710,2780,2.5,0,0,2.0,9,3,1989,0,2.0,482000
19550,2190,3000,1.75,2,0,1.0,9,3,1968,0,1.0,491500
19051,1070,1450,1.5,0,850,1.0,7,4,1954,0,1.0,430000
18675,1460,2080,2.5,0,750,1.0,8,3,1976,0,1.0,470000
13095,1090,1410,3.0,0,760,1.0,7,4,1992,0,1.0,287200
10689,2190,2860,2.5,0,670,2.0,8,3,2004,0,2.0,499950
15877,1010,1390,1.0,0,0,1.0,6,4,1973,0,1.0,310000
