,sqft_living,sqft_above,bathrooms,view,grade,price
0,1180,1180,1.0,0,7,221900
1,2570,2170,2.25,0,7,538000
2,770,770,1.0,0,6,180000
3,1960,1050,3.0,0,7,604000
4,1680,1680,2.0,0,8,510000
5,5420,3890,4.5,0,11,1230000
6,1715,1715,2.25,0,7,257500
7,1060,1060,1.5,0,7,291850
8,1780,1050,1.0,0,7,229500
9,1890,1890,2.5,0,7,323000
10,3560,1860,2.5,0,8,662500
11,1160,860,1.0,0,7,468000
12,1430,1430,1.0,0,7,310000
13,1370,1370,1.75,0,7,400000
14,1810,1810,2.0,0,7,530000
15,2950,1980,3.0,3,9,650000
16,1890,1890,2.0,0,7,395000
17,1600,1600,1.0,0,7,485000
18,1200,1200,1.0,0,7,189000
19,1250,1250,1.0,0,7,230000
20,1620,860,1.75,0,7,385000
21,3050,2330,2.75,4,9,2000000
22,2270,2270,2.5,0,8,285000
23,1070,1070,1.5,0,7,252700
24,2450,2450,2.25,0,8,329000
25,1710,1710,2.0,0,6,233000
26,2450,1750,1.75,0,8,937000
27,1400,1400,1.0,0,8,667000
28,1520,790,1.75,0,7,438000
29,2570,2570,2.5,0,8,719000
30,2320,2320,2.5,0,8,580500
31,1190,1190,1.5,0,7,280000
32,2330,1510,1.75,0,7,687500
33,1090,1090,1.0,0,8,535000
34,2060,1280,2.75,0,7,322500
35,2300,1510,2.5,0,8,696000
36,1660,930,1.0,0,5,550000
37,2360,2360,2.0,0,8,640000
38,1220,890,1.0,0,7,240000
39,2620,2620,2.5,0,8,605000
40,2570,2570,2.5,0,9,625000
41,4220,2600,2.25,0,8,775000
42,3595,3595,2.75,0,9,861990
43,1570,1570,1.0,0,7,685000
44,1280,920,1.0,0,6,309000
45,3160,3160,2.5,0,8,488000
46,990,990,1.0,0,6,210490
47,2290,2290,2.5,0,9,785000
48,1250,1250,1.75,0,7,450000
49,2753,2165,2.5,2,9,1350000
50,1190,1190,1.0,0,7,228000
51,3150,1640,2.5,0,8,345000
52,1410,1000,1.75,0,7,600000
53,1980,990,1.75,0,7,585000
54,2730,2130,2.25,0,8,920000
55,2830,2830,2.5,0,9,885000
56,2250,2250,2.5,0,7,292500
57,2420,2420,2.5,0,8,301000
58,3250,3250,3.25,4,8,951000
59,1850,1850,3.0,0,8,430000
60,2150,1590,2.25,3,8,650000
61,1260,1260,1.75,0,7,289000
62,2519,2519,1.75,0,8,505000
63,1540,1540,1.75,0,8,549000
64,1660,1110,2.25,0,7,425000
65,2770,1770,2.75,0,7,317625
66,2720,2720,2.5,0,10,975000
67,2240,2240,2.5,0,7,287000
68,1000,1000,1.0,0,7,204000
69,3200,1600,2.25,0,8,1330000
70,4770,3070,3.25,0,11,1040000
71,1260,1260,2.0,0,7,325000
72,2750,2250,2.0,0,7,571000
73,2380,2380,2.5,0,8,360000
74,1790,1090,1.75,0,7,349000
75,3430,2390,4.0,0,10,832500
76,1760,880,1.75,0,7,380000
77,1040,1040,1.0,0,7,480000
78,1410,910,1.0,0,7,410000
79,3450,3450,2.5,0,10,720000
80,2350,2350,2.5,0,8,390000
81,1900,1900,2.5,0,7,360000
82,2020,1010,1.0,0,7,355000
83,1680,1680,1.5,0,8,356000
84,960,960,1.0,0,6,315000
85,2140,1900,1.5,0,9,940000
86,2660,2660,2.25,0,7,305000
87,2770,1980,3.25,0,9,461000
88,1610,1610,2.25,0,7,215000
89,1030,765,1.75,0,7,335000
90,1980,1980,2.5,0,7,243500
91,3520,3520,2.75,0,10,1100000
92,1200,1200,1.0,0,7,153000
93,1580,1290,1.5,0,8,430000
94,1580,1290,1.5,0,8,700000
95,3300,2390,2.5,0,7,905000
96,1960,1960,1.75,0,7,247500
97,1160,1160,1.5,0,7,199000
98,1810,1210,1.75,0,7,314000
99,2320,2320,2.5,2,9,437500
100,2070,1270,2.5,0,9,850830
101,1980,1440,2.0,0,7,555000
102,2190,2190,2.25,0,8,699950
103,2920,2920,2.5,0,8,1090000
104,1210,1210,1.0,0,7,290000
105,2340,1460,2.5,0,8,375000
106,1670,1170,1.0,0,7,460000
107,1240,1240,1.75,0,8,188500
108,3140,3140,2.5,0,10,680000
109,2030,2030,1.75,0,7,470000
110,2310,2310,2.5,0,8,597750
111,1260,700,1.75,0,6,570000
112,1540,1160,1.75,0,7,272500
113,2080,1080,1.75,2,7,329950
114,3230,2520,2.5,3,9,480000
115,4380,2780,3.5,0,8,740500
116,1590,1590,3.5,0,8,518500
117,880,880,1.0,0,6,205425
118,1570,1570,2.0,0,6,171800
119,1610,1610,1.0,0,7,535000
120,2400,1560,2.5,2,8,660000
121,1450,1450,2.0,0,7,391500
122,770,770,1.0,0,6,395000
123,2100,1720,1.75,0,7,445000
124,2910,2910,2.25,0,9,770000
125,2750,1980,2.75,0,8,1450000
126,2100,1620,2.25,2,8,445000
127,2160,1360,2.25,0,8,260000
128,2320,1720,3.5,0,7,822500
129,2070,2070,2.5,0,7,430000
130,1060,1060,1.75,0,7,212000
131,2010,1440,2.25,0,8,660500
132,3950,2460,3.5,0,9,784000
133,2010,1390,2.5,0,8,453246
134,2140,2140,3.5,0,9,675000
135,1320,1320,1.75,0,7,199000
136,2020,1010,1.75,0,7,220000
137,2590,1340,2.25,0,8,452000
138,1190,1190,1.0,0,6,382500
139,1170,1170,2.25,0,8,519950
140,1110,1110,1.0,0,7,665000
141,2820,1550,2.5,0,8,527700
142,1610,1010,1.0,0,7,205000
143,1060,940,1.0,0,7,420000
144,2030,1380,2.25,0,8,500000
145,3670,3670,2.5,0,9,921500
146,2550,2370,1.0,0,8,890000
147,2420,2420,2.5,0,7,430000
148,2260,1130,2.0,0,8,258000
149,1430,980,1.0,0,7,511000
